Sample_Name	Collection_Date	Geo_Loc_Name	Latitude_Longitude	Host	Target_Gene	Env_Biome	Env_Material	Env_Feature
V01	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V02	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V03	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼26.262'S 149¼34.212'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V04	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼26.262'S 149¼34.212'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V05	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼26.262'S 149¼34.212'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V06	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼26.262'S 149¼34.212'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V07	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V08	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V10	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V11	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V12	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V13	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V14	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V15	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼30.522'S 149¼36.216'E.	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V16	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼59.262'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V18	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼59.262'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V20	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼59.262'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V21	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼59.262'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V22	30/7/2018	"Australia: New South Wales, Tallaganda forest"	35¼59.262'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V23	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V24	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V25	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V26	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V27	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V28	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V29	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
V31	7/11/2018	"Australia: New South Wales, Tallaganda forest"	35¼41.49'S 149¼33.246'E	Euperipatoides rowelli (velvet worm)	16S rRNA V4-V5 region 	temperate forest biome	animal whole gut 	deadwood microhabitat
